Europe,500.1,490.1,710.6,645.1,918.1,1005,984,894.9,885.8,728.8,586.7,597.1,576.8,535.4,762.1,746.4,1025.3,1176.7,1087.3,990.4,1021.2,801.7,679.4,696.7,629.8,588.6,893.1,846.6,1100.6,1284.3,1203.4,1033,1076.8,883.5,710.9,744.9,639.1,621,1029.4,930.7,"1,149.80","1,320.30","1,245.80","1,103.00","1,114.50",939.5,822.2,750.5,"674,471","676,711","1,073,270","993,020","1,316,004","1,530,899","1,424,628","1,204,319","1,237,404","979,608","845,525","818,317","759,884","728,850","1,111,396","1,045,013","1,316,435","1,592,615","1,382,443","1,216,810","836,706","640,815","611,204","649,190","590,564","598,234","910,849","769,269","1,080,818","1,305,355","1,012,332","867,279","980,829","805,423","745,117","830,737","671,177","591,131","808,794","679,570","979,655","1,205,280","1,209,944","1,049,258","1,055,536","872,409","785,206","888,149","713,703","655,434","982,275","929,359","1,229,897","1,432,810","1,293,447","1,106,643","1,169,280","897,683","821,219","900,717","748,042","649,274","992,917","944,616","1,280,025","1,463,636","1,383,904","1,096,385","1,208,755","941,907","811,118","902,504","734,184","638,319","1,025,478","990,345","1,368,704","1,585,248","1,450,854","1,159,246","1,245,357","980,856","816,098","913,995","753,241","668,385","982,679","968,486","1,318,802","1,521,619","1,334,096","1,122,497","1,180,564","916,328","765,079","888,886","668,221","568,968","847,090","940,279","1,241,375","1,397,017","1,383,704","1,204,945","1,163,697","920,191","748,994","845,496","664,807","544,768","852,371","761,418","1,232,279","1,545,950","1,239,156","969,046","1,122,203","831,219","640,639","688,213","568,471","414,958","773,308","806,302","1,157,885","1,431,960","1,288,805","1,047,001","1,119,104","844,142","644,948","729,039","580,304","493,931","823,312","832,117","1,213,377","1,498,656","1,299,502","1,126,098","1,138,691","852,344","646,447","739,858","563,169","480,637","797,405","815,393","1,206,206","1,549,743","1,331,766","1,161,706","1,169,406","885,104","660,011","787,442","577,691","497,003","806,663","868,367","1,305,842","1,614,486","1,413,798","1,185,907","1,241,537","915,090","675,275","790,557","585,982","500,982","840,187","926,094","1,339,841","1,741,971","1,518,260","1,279,176","1,357,057","978,329","706,325","824,656","615,470","546,246","912,603","976,044","1,441,559","1,837,000","1,654,182","1,356,022","1,437,634","1,055,110","807,099","975,396","701,121","620,460","1,064,429","1,212,898","1,684,659","2,139,814","1,867,812","1,627,172","1,676,165","1,201,375","928,855","1,068,009"
Caribbean,312.8,341.1,357.7,343.3,325.9,348,409.7,381.8,244.9,267.3,309.1,379,314.5,312.6,377,339.8,334.2,355.1,424.8,394.2,258.3,289.5,321.6,386.5,320.4,318.5,346.9,371.4,346.5,373.9,434.4,400.8,261,292.4,315,389.3,318.7,321.6,404.3,381.3,380.4,408.8,491.9,429.6,290.3,323.3,363.7,419.6,"313,637","344,363","390,296","399,069","388,070","431,177","516,169","456,343","305,864","319,984","362,265","358,729","335,024","350,593","406,627","411,622","378,826","417,917","487,434","438,429","220,141","249,946","306,785","357,614","295,475","325,787","414,239","331,490","356,062","409,107","427,202","360,603","232,082","280,557","369,759","462,828","326,990","343,523","404,938","389,764","379,206","413,496","565,436","527,423","282,893","341,765","382,930","508,150","356,308","400,772","434,587","461,824","420,090","472,797","594,288","516,887","262,273","326,019","369,954","489,853","381,022","408,348","510,086","451,929","433,383","496,298","585,156","465,772","300,453","349,537","416,199","558,172","422,010","430,853","525,097","544,273","497,291","546,912","622,804","519,452","309,293","355,395","432,432","538,026","438,600","435,308","547,115","492,124","504,964","558,422","626,393","521,947","287,346","335,003","394,502","493,065","396,837","418,004","453,515","477,955","487,674","524,193","617,394","515,953","315,012","373,034","406,699","529,256","422,661","412,960","503,610","488,207","495,210","556,414","718,883","515,944","298,598","375,945","404,166","510,010","450,185","423,367","597,885","558,278","517,604","616,841","711,316","495,580","306,944","368,680","438,203","547,091","460,494","536,899","648,773","577,885","545,073","672,777","737,987","548,775","331,371","374,327","449,260","551,722","468,194","512,150","695,717","545,443","538,343","675,828","730,358","568,902","316,985","396,504","480,843","616,507","498,620","550,203","705,211","629,774","624,280","742,860","821,650","629,224","347,244","436,791","513,983","672,032","560,268","610,837","755,526","671,777","647,866","783,320","852,692","656,606","403,601","477,299","523,274","705,131","588,925","643,467","809,877","687,500","641,598","803,919","890,781","645,065","416,980","451,579","547,257","751,937","621,686","683,538","822,751","783,076","714,117","865,847","959,510","718,092","356,693","473,086","567,498","754,622"
Asia,259.6,222.6,266.4,243.4,293.1,282.5,271.3,268.5,247.5,267,258.1,275.1,285.8,230.3,287.5,260.8,310.5,307.5,289.7,293.3,265.6,289.8,275,303.7,314.3,246.8,288.4,281.1,301.3,309.8,295.2,281.8,257.2,291,274.4,318.3,293.6,252.5,326.2,285.2,318.4,341.3,326.3,310.6,277.8,318.4,297.6,287.7,"310,829","272,185","336,277","311,444","350,934","394,730","367,350","321,793","304,589","309,075","274,115","306,212","327,284","260,701","340,046","336,355","356,616","410,950","354,978","328,732","229,166","245,236","249,563","291,512","299,581","266,496","352,648","295,386","350,468","193,451","326,734","259,839","284,880","323,047","325,843","376,016","347,547","264,137","252,465","176,244","192,444","255,395","308,911","319,533","293,870","340,606","320,716","379,046","352,149","294,267","347,324","339,750","390,843","429,160","408,875","337,768","326,741","381,533","351,770","393,257","382,233","318,504","414,291","363,177","432,036","481,046","447,556","364,449","355,474","409,595","380,947","433,710","412,341","330,752","422,301","417,162","463,810","506,649","475,223","403,387","393,517","459,582","419,684","474,862","494,580","402,100","515,685","430,615","496,099","516,814","481,649","430,945","390,446","457,586","407,984","462,870","437,095","358,594","429,966","413,535","446,247","506,990","492,157","427,808","386,316","459,141","430,894","477,035","463,903","391,272","485,535","445,254","492,032","576,398","355,326","304,192","305,972","372,031","333,298","329,406","355,910","263,550","327,595","335,343","351,128","392,165","372,678","322,774","317,775","380,415","350,389","365,926","370,010","318,111","372,172","363,785","380,446","405,070","365,778","317,409","319,491","381,465","358,881","359,926","372,244","298,392","398,695","353,140","367,283","394,153","366,374","325,185","315,197","389,895","365,392","381,316","376,296","312,814","397,296","381,817","379,197","424,155","397,960","342,239","338,630","397,721","364,160","396,232","392,463","325,069","439,242","403,753","409,652","436,330","413,295","365,482","358,203","442,988","418,257","437,926","434,366","351,237","479,397","440,303","452,593","488,734","460,034","388,236","405,050","488,441","479,222","515,345","476,827","387,650","513,034","495,884","477,954","525,875","504,326","419,586","420,099","504,961","507,576","537,118"
South America,117.9,116.7,118,98.7,104.5,129.9,145.9,137.9,102.6,107.1,120.4,155.9,138.1,122.3,131.4,109.5,117.2,149.3,169,151.5,126.3,131.6,142.2,193.1,147.8,146.3,144.2,126.5,136.6,161.1,184.6,168.5,127.2,135.1,143.6,202.8,155.3,141.3,147.6,124.7,134.6,163.7,190.1,168,127.3,134.8,147,178.4,"145,348","152,844","164,849","129,264","136,286","166,925","187,190","169,378","132,328","133,525","146,156","142,783","158,964","158,555","169,514","137,418","143,653","182,407","193,933","170,464","99,264","111,094","130,542","185,454","204,337","138,049","146,897","103,714","117,835","158,779","153,944","122,634","99,500","116,359","141,618","215,195","144,203","148,162","145,093","118,179","130,921","164,578","193,627","162,045","116,025","129,330","149,415","226,993","154,793","160,874","164,054","140,398","142,433","182,677","199,860","163,463","123,608","141,717","158,958","243,481","173,830","169,884","188,831","144,634","151,206","204,990","218,543","179,388","145,365","153,115","170,387","263,921","182,359","174,920","196,368","160,558","171,218","216,053","221,108","197,760","152,005","166,343","185,853","277,316","207,293","202,985","225,557","175,747","196,573","244,346","231,272","209,270","166,835","184,751","203,791","286,825","207,714","200,060","213,455","191,000","196,867","240,907","240,348","216,045","174,997","188,924","206,177","290,232","203,942","195,640","219,974","184,409","204,573","253,382","165,525","146,886","111,670","119,406","131,087","182,598","124,274","122,879","147,263","118,496","130,842","166,106","158,983","140,780","110,756","116,550","134,168","182,496","125,556","138,358","160,294","124,867","138,522","170,185","156,157","141,979","108,919","117,623","135,971","184,438","125,428","138,617","160,305","124,815","139,367","171,972","165,187","148,030","111,115","124,161","135,463","190,728","127,749","137,612","154,680","123,068","144,464","208,023","167,627","143,609","112,581","123,729","134,019","194,344","129,211","135,309","154,234","126,276","146,458","182,575","179,749","156,707","128,821","139,398","156,448","234,277","153,576","160,319","183,477","145,179","160,869","202,821","198,609","178,300","129,157","131,988","146,737","219,445","135,006","146,664","165,836","148,540","154,436","193,673","182,796","161,435","119,148","137,624","157,642","222,500"
Central America,85.6,86.3,100.9,78.1,75.5,98.1,107.7,90.4,58.7,64.8,80.1,119.4,95.6,86.7,106.9,74,79.5,101.5,112.9,95.6,66.5,71.9,78.7,124.5,100.3,99.1,112.9,106.3,101.4,126.1,139.8,119.2,75.4,88.2,100.7,154.4,117.9,112.9,145.9,111.2,110.7,139.2,165.5,130,87.4,101.9,124,148.4,"122,366","126,626","146,402","128,027","118,234","151,222","174,901","140,229","91,957","101,598","125,492","97,251","137,634","130,286","150,432","134,069","123,866","157,311","178,804","143,907","73,723","89,777","106,837","147,626","118,816","117,973","159,229","99,436","115,702","157,315","160,036","106,823","79,403","99,212","129,489","199,598","141,066","138,740","161,734","130,260","131,474","177,402","208,566","161,639","92,499","113,986","141,187","213,645","158,676","159,270","191,430","152,739","140,068","204,899","237,629","180,313","109,331","132,476","168,590","254,649","190,129","189,171","240,445","165,432","164,391","232,337","261,097","176,136","116,906","133,961","165,655","250,364","196,727","184,722","226,666","196,976","178,343","234,416","253,698","182,244","119,489","135,332","177,340","270,430","216,029","219,115","263,537","189,909","200,231","265,294","253,007","220,683","128,348","149,588","192,037","268,451","211,280","206,134","246,459","213,056","202,225","247,029","264,246","206,522","136,096","146,452","176,222","269,131","207,888","201,002","251,114","186,364","183,604","258,127","245,713","165,031","99,600","113,333","142,047","210,658","176,483","140,975","217,318","177,286","162,891","240,766","259,680","168,084","107,562","118,639","155,668","233,013","192,544","203,120","251,336","178,633","179,356","264,322","269,811","187,099","117,061","130,076","172,398","248,576","200,178","203,392","267,811","179,706","188,596","278,182","278,822","193,970","116,616","137,318","178,127","273,343","219,192","225,540","283,108","213,929","209,012","301,095","308,557","206,176","121,158","145,848","180,485","283,007","223,884","230,021","283,876","208,872","207,285","301,400","306,278","207,156","132,265","157,957","210,852","321,019","258,520","260,786","320,266","222,167","227,876","319,273","332,404","218,258","146,172","161,373","202,423","314,615","241,293","252,067","310,182","252,392","232,366","336,150","332,634","222,045","147,044","169,255","216,656","319,918"
Oceania,57.2,55.6,50.8,45.1,36.3,47.9,54.1,46.1,43,53.8,47.8,54.1,58.4,52,51.1,42.6,38.5,50,60.6,48.4,43.6,55.9,51.9,58.5,58.1,55.8,53.2,50.8,44.1,54.3,63.6,51.4,47.8,65.4,55,68.1,70.7,68.6,68.1,56.8,54.2,68.2,78.2,62.8,61.6,76.9,70,78.5,"74,161","77,002","73,272","65,917","57,419","77,100","75,298","64,764","76,260","75,489","67,865","47,072","84,809","73,527","72,111","59,721","57,618","77,592","84,809","69,585","46,015","54,298","51,543","63,992","35,157","67,078","74,425","46,645","51,165","64,867","65,336","45,073","49,277","64,076","62,313","76,003","71,171","70,168","65,518","52,529","55,745","65,465","73,597","57,125","50,198","60,835","59,242","75,299","69,548","65,971","63,557","52,579","53,329","67,431","74,206","60,769","52,083","63,100","66,809","75,967","70,262","68,961","71,779","52,352","53,918","69,962","76,207","60,733","50,858","60,854","64,022","81,475","74,520","66,349","73,328","58,506","53,909","74,891","79,356","63,352","56,871","66,391","67,359","82,612","73,910","79,339","66,298","50,438","53,517","61,465","75,890","58,032","49,771","60,102","63,254","72,383","66,177","65,299","58,118","50,703","51,929","65,998","77,673","61,794","59,080","67,003","68,589","91,662","81,892","72,363","64,313","55,981","58,271","88,139","45,998","39,163","35,195","39,047","41,374","54,275","43,142","47,911","44,783","35,184","36,446","41,563","42,328","37,102","35,845","37,949","44,609","57,971","48,024","54,116","48,693","37,363","40,183","45,685","47,908","38,929","38,032","40,144","47,909","60,285","51,386","57,473","54,546","40,576","40,177","45,676","47,840","38,989","37,090","43,137","49,722","65,144","51,774","62,658","60,097","41,314","46,359","45,003","48,892","39,913","38,013","46,573","53,030","67,699","53,439","67,496","61,684","42,818","45,192","54,120","51,647","42,810","42,298","50,059","57,688","74,234","58,440","72,704","68,529","47,648","51,715","58,120","59,085","52,475","47,696","55,719","67,294","85,458","64,055","81,740","76,821","57,894","51,950","57,895","60,849","50,157","47,780","58,010","75,065","94,280"
Middle East,31.6,31.8,36.4,32.4,34.3,34.9,52.3,50.8,36.8,33.8,25.6,33.1,28.5,24.7,32.6,31.1,40.5,49.2,55.7,54.7,36.7,34.9,26.6,34.6,28.3,23.6,29.4,36.9,33.9,48.1,47.6,53.2,35.3,36,28.2,31.7,27.6,25.2,36.1,28.7,32.1,46.1,50.8,57.4,33.7,36.9,38.7,31.8,"28,658","30,230","38,436","32,522","41,266","50,869","54,949","51,624","35,580","30,377","22,634","30,183","24,986","23,170","26,514","27,059","27,341","39,786","39,433","42,959","21,730","17,531","17,239","18,350","18,417","18,495","23,335","20,894","23,380","34,558","28,113","35,172","26,797","25,502","21,559","27,337","22,171","15,835","13,434","19,059","24,371","30,867","43,009","47,441","31,498","34,257","30,636","37,919","34,103","27,865","31,238","35,334","41,854","54,549","57,243","58,242","39,468","33,275","30,951","36,757","37,058","28,235","40,766","36,376","55,628","61,196","56,609","52,073","47,698","39,647","41,227","49,821","45,822","31,973","42,014","42,587","45,276","57,263","40,069","39,560","33,356","29,220","32,302","34,331","57,216","51,780","64,548","60,994","75,411","85,385","74,590","65,297","60,491","73,587","88,964","94,105","78,587","67,543","81,205","87,774","105,578","122,123","120,801","114,364","94,627","103,123","109,905","119,255","105,511","90,098","117,299","113,131","125,667","151,843","110,983","103,394","91,464","105,855","104,673","118,150","108,487","79,686","107,331","101,208","127,367","140,809","120,164","108,486","103,641","113,715","108,957","127,045","119,717","104,304","122,506","113,062","135,837","165,082","130,622","128,253","109,466","116,916","115,560","138,957","129,169","108,560","128,895","119,436","144,663","167,877","139,006","136,749","110,563","122,138","123,966","148,460","140,179","119,192","140,706","141,744","162,244","180,874","148,098","145,620","133,173","134,341","143,546","189,966","162,570","136,853","166,257","145,791","181,811","191,786","199,753","168,455","149,477","153,967","172,068","216,463","178,493","152,882","184,931","147,391","188,052","214,771","221,530","177,224","155,408","148,121","179,799","227,707","197,077","151,649","175,111","174,841","189,500","229,494","236,867","201,242","157,995","168,668","190,353","233,537"
Africa,10.3,10.1,11.6,10.9,10.9,12.5,14.6,14.6,9.7,9.1,10.4,12.9,11.4,13,13.6,12.4,13.2,15.2,21.2,18.3,13.9,14.5,13.4,17.9,13.4,13.7,16.9,14.1,15.8,19.5,22.8,17.8,14.7,14.8,13.4,19.3,16.3,14.3,18.7,14.3,16.5,19,20.1,17,16.6,17.2,16.7,18.3,"15,142","14,826","19,183","16,695","18,480","24,547","25,869","22,509","18,177","16,509","15,785","14,758","17,188","16,120","20,042","16,532","19,821","27,369","31,668","27,751","13,568","13,666","9,583","16,303","8,655","11,640","13,389","8,542","13,419","20,020","21,368","16,745","13,415","13,548","14,060","20,954","16,699","12,396","14,002","11,869","15,334","14,826","26,366","21,381","16,819","14,484","15,170","22,507","18,644","13,947","17,572","16,404","19,275","17,756","20,500","16,310","12,163","15,193","13,596","16,373","12,262","11,348","16,334","13,276","17,160","22,421","22,236","19,161","15,513","16,529","14,428","19,993","16,626","13,629","17,822","15,927","16,632","20,226","14,813","8,594","8,796","9,330","6,956","16,451","21,319","16,700","25,232","19,508","26,545","28,968","31,987","27,491","25,490","30,020","29,087","34,996","27,246","24,153","31,375","27,591","34,757","40,388","42,847","34,452","30,498","30,738","32,052","41,107","33,049","25,574","37,065","34,490","37,518","48,354","41,786","33,469","30,252","30,507","28,542","34,813","30,284","21,589","28,079","24,671","32,125","38,724","42,694","33,573","27,779","27,478","26,153","32,627","27,210","21,976","31,521","26,185","35,106","41,009","38,573","33,435","27,419","27,429","24,021","30,983","25,970","22,748","30,716","25,228","34,686","38,740","36,386","33,046","26,763","27,108","23,182","27,375","23,982","21,066","27,950","27,596","36,044","40,542","40,732","34,231","29,205","25,974","21,875","28,726","25,125","20,343","27,766","24,945","31,857","35,090","39,673","33,198","28,683","25,474","24,603","33,815","26,709","22,661","31,706","26,726","33,005","36,015","41,695","32,521","28,808","25,423","25,380","34,243","25,947","22,812","30,986","33,273","34,840","44,089","46,430","39,668","30,051","28,754","29,748","36,553"
Mexico,317.5,328,367.4,313.8,325.1,347.7,341.4,347.1,246.4,295.4,349.5,413.1,345.5,336.3,405.3,352.2,347.2,368.7,390.7,390.3,276.4,327,371,432.7,353,336.6,370.2,381.1,371.4,398.4,425.8,389.7,271,334.6,377.7,433.1,365.8,369,421,383.3,386.6,427,452.6,412.9,304.7,380.3,420.7,464.7,"377,102","367,811","424,136","401,544","409,719","449,753","475,420","437,708","322,482","363,708","395,364","329,422","388,414","359,420","433,586","408,033","404,722","453,960","473,765","433,325","208,947","278,195","314,595","359,429","288,137","302,682","384,673","308,007","339,638","389,683","379,508","323,804","243,362","311,958","375,278","468,146","345,282","328,787","376,991","338,034","367,574","411,399","444,253","425,769","267,993","346,969","381,737","498,072","369,571","387,859","440,106","397,790","412,491","483,978","511,054","457,327","311,828","396,906","423,770","564,420","448,720","423,444","518,367","462,610","466,252","538,743","572,899","481,783","341,039","395,203","391,368","578,299","431,415","400,743","518,910","495,589","490,734","550,296","581,479","487,990","315,312","390,214","444,642","591,161","471,670","454,449","558,210","484,746","508,033","577,543","581,858","496,806","312,393","402,109","449,593","569,135","444,319","447,187","510,573","464,651","274,104","465,304","520,147","450,081","313,311","380,080","417,251","562,802","442,247","420,932","510,099","447,597","459,214","533,766","586,099","417,896","272,959","354,501","402,237","526,113","457,496","394,298","600,457","505,057","454,841","543,821","548,789","394,563","282,460","360,351","417,889","577,361","463,402","526,671","622,399","469,954","455,375","561,821","549,525","412,820","286,683","379,726","443,470","600,475","474,509","530,234","691,183","495,217","498,375","619,492","587,129","464,307","300,218","415,202","487,955","655,222","548,728","606,312","747,971","582,815","580,708","708,298","701,251","517,592","305,072","406,687","516,643","708,513","610,299","657,784","794,416","659,440","648,131","806,020","792,841","605,774","405,547","542,983","621,766","848,664","703,811","751,950","934,935","732,306","714,455","897,872","900,988","635,614","450,156","587,448","674,150","950,068","765,339","813,609","1,007,334","855,209","807,387","1,008,322","1,005,120","708,243","467,404","605,831","732,615","1,034,300"
Canada,156.2,167.5,187.1,209.3,276.5,357.4,389.3,393,296.6,241.8,171.9,200.6,161.1,172.3,196.4,209.8,273.4,360,412.4,414.8,319.6,256.6,185.2,230.8,172.1,190,215.2,232.3,305.4,420.6,484.9,455.9,323.6,320.7,233.1,269,197.8,221.2,253.1,258.8,323.7,424.1,496.4,440.7,359.4,307.3,238.9,285.3,"193,776","230,319","254,972","258,928","318,803","440,963","493,628","473,647","370,854","308,059","250,634","277,310","214,859","227,896","259,945","270,829","336,058","464,766","496,083","501,881","264,884","265,788","205,089","259,006","197,044","212,876","249,850","240,347","315,939","437,658","509,412","501,821","332,999","291,311","224,222","279,071","198,931","209,505","231,550","197,731","248,324","404,021","479,355","446,142","306,818","283,261","220,944","275,482","185,631","207,889","255,082","259,574","305,654","437,396","538,078","533,602","360,434","307,173","246,005","286,184","211,696","235,451","256,077","244,788","304,333","463,530","521,767","456,517","368,082","305,914","244,557","279,223","197,728","208,719","247,667","258,053","340,453","476,475","493,733","461,026","357,521","288,352","232,042","275,393","184,794","197,016","228,602","242,395","316,552","429,239","472,542","432,501","318,123","276,633","213,697","269,665","172,516","179,756","197,503","213,929","267,608","377,849","454,694","394,796","315,284","254,070","199,425","252,843","167,074","189,106","218,197","225,643","273,232","412,789","461,080","413,470","330,444","287,287","229,515","257,274","181,821","177,090","225,670","225,295","307,285","431,791","462,553","406,470","341,120","280,997","225,689","253,007","182,378","193,390","225,366","242,905","306,501","432,853","446,048","424,754","331,058","280,675","208,087","260,644","185,144","188,932","232,514","240,166","326,553","456,846","505,409","471,821","366,067","296,183","224,566","276,161","161,568","165,605","202,916","209,928","293,771","409,699","468,524","423,053","330,791","280,995","206,608","256,665","173,206","177,841","216,511","227,664","311,212","441,129","498,932","446,356","342,322","296,165","225,224","276,483","204,815","240,007","283,568","283,665","384,089","553,336","623,185","532,549","448,043","356,702","269,781","335,799","231,135","231,532","293,236","318,129","404,406","601,384","634,059","578,961","456,681","389,145","308,905","368,257"
