,,,,,,,FINAL,,,,,,,
"U.S. CITIZEN AIR TRAFFIC TO OVERSEAS REGIONS, CANADA & MEXICO",,,,,,,,,,,,,,
,,,,,,,1996,,,,,,,
,,,,,,,(in Thousands),,,,,,FINAL*,
,,,,,,,,,,,,,YTD,YTD %chg.
Regions,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,96/95@
Europe,500.1 ,490.1 ,710.6 ,645.1 ,918.1 ,1005.0 ,984.0 ,894.9 ,885.8 ,728.8 ,586.7 ,597.1 ,"8,946.3 ",4.7%
Central America,85.6 ,86.3 ,100.9 ,78.1 ,75.5 ,98.1 ,107.7 ,90.4 ,58.7 ,64.8 ,80.1 ,119.4 ,"1,045.6 ",-1.2%
Caribbean,312.8 ,341.1 ,357.7 ,343.3 ,325.9 ,348.0 ,409.7 ,381.8 ,244.9 ,267.3 ,309.1 ,379.0 ,"4,020.6 ",2.3%
South America,117.9 ,116.7 ,118.0 ,98.7 ,104.5 ,129.9 ,145.9 ,137.9 ,102.6 ,107.1 ,120.4 ,155.9 ,"1,455.5 ",2.9%
Africa,10.3 ,10.1 ,11.6 ,10.9 ,10.9 ,12.5 ,14.6 ,14.6 ,9.7 ,9.1 ,10.4 ,12.9 ,137.6 ,-0.1%
Middle East,31.6 ,31.8 ,36.4 ,32.4 ,34.3 ,34.9 ,52.3 ,50.8 ,36.8 ,33.8 ,25.6 ,33.1 ,433.8 ,13.6%
Far East,259.6 ,222.6 ,266.4 ,243.4 ,293.1 ,282.5 ,271.3 ,268.5 ,247.5 ,267.0 ,258.1 ,275.1 ,"3,155.1 ",5.2%
Oceania,57.2 ,55.6 ,50.8 ,45.1 ,36.3 ,47.9 ,54.1 ,46.1 ,43.0 ,53.8 ,47.8 ,54.1 ,591.8 ,-0.5%
TOTAL OVERSEAS ,"1,375.1 ","1,354.3 ","1,652.4 ","1,497.0 ","1,798.6 ","1,958.8 ","2,039.6 ","1,885.0 ","1,629.0 ","1,531.7 ","1,438.2 ","1,626.6 ","19,786.3 ",3.8%
Canada,156.2 ,167.5 ,187.1,209.3,276.5 ,357.4 ,389.3 ,393.0 ,296.6 ,241.8,171.9 ,200.6 ,"3,047.2 ",11.2%
Mexico,317.5 ,328.0 ,367.4 ,313.8 ,325.1 ,347.7 ,341.4 ,347.1 ,246.4,295.4,349.5,413.1,"3,992.4 ",11.4%
GRAND TOTAL,"1,848.8 ","1,849.8 ","2,206.9 ","2,020.1 ","2,400.2 ","2,663.9 ","2,770.3 ","2,625.1 ","2,172.0 ","2,068.9 ","1,959.6 ","2,240.3 ","26,825.9 ",5.7%
,,,,,,,,,,,,,,
"Note:  All data reported are from TI's ""U.S. International Air Travel Statistics Report"" except for the Canada air data",,,,,,,,,,,,,,
            TI obtains the information on U.S. departures to Canada from Statistics Canada,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
* Final totals may not equal sum of all months,,,,,,,,,,,,,,
"@ For the same period, 1995",,,,,,,,,,,,,,

"Source:  U.S. Department of Commerce, International Trade Administration, Tourism Industries, October 1998",,,,,,,,,,,,,,
