FINAL,,,,,,,,,,,,,,,,,
"U.S. CITIZEN AIR TRAFFIC TO OVERSEAS REGIONS, CANADA & MEXICO",,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Final 1,% Change2,,,
Regions,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan-Dec,2001/2000,,,
Europe,"759,884","728,850","1,111,396","1,045,013","1,316,435","1,592,615","1,382,443","1,216,810","836,706","640,815","611,204","649,190","12,137,831",-7%,,,
Caribbean,"335,024","350,593","406,627","411,622","378,826","417,917","487,434","438,429","220,141","249,946","306,785","357,614","4,432,899",-5%,,,
Asia,"327,284","260,701","340,046","336,355","356,616","410,950","354,978","328,732","229,166","245,236","249,563","291,512","3,819,866",-5%,,,
South America,"158,964","158,555","169,514","137,418","143,653","182,407","193,933","170,464","99,264","111,094","130,542","185,454","1,873,427",0%,,,
Central America ,"137,634","130,286","150,432","134,069","123,866","157,311","178,804","143,907","73,723","89,777","106,837","147,626","1,601,546",0%,,,
Oceania,"84,809","73,527","72,111","59,721","57,618","77,592","84,809","69,585","46,015","54,298","51,543","63,992","816,786",-8%,,,
Middle East,"24,986","23,170","26,514","27,059","27,341","39,786","39,433","42,959","21,730","17,531","17,239","18,350","334,551",-25%,,,
Africa,"17,188","16,120","20,042","16,532","19,821","27,369","31,668","27,751","13,568","13,666","9,583","16,303","232,123",1%,,,
,,,,,,,,,,,,,,,,,
Total Overseas 3,"1,845,773","1,741,802","2,296,682","2,167,789","2,424,176","2,905,947","2,753,502","2,438,637","1,540,313","1,422,363","1,483,296","1,730,041","25,249,029",-6%,,,
,,,,,,,,,,,,,,,,,
Mexico,"388,414","359,420","433,586","408,033","404,722","453,960","473,765","433,325","208,947","278,195","314,595","359,429","4,609,399",-8%,,,
Canada,"214,859","227,896","259,945","270,829","336,058","464,766","496,083","501,881","264,884","265,788","205,089","259,006","3,767,084",-3%,,,
,,,,,,,,,,,,,,,,,
Grand Total ,"2,448,898","2,328,947","2,990,131","2,843,129","3,158,755","3,815,415","3,723,350","3,373,843","2,014,144","1,966,346","2,002,980","2,348,476","33,625,512",-6%,,,
,,,,,,,,,,,,,,,,,
1 Total Annual figures may not equal to the sum of the month departure figures because late records are added to the monthly annual sum.,,,,,,,,,,,,,,,,,
2 Percentage change is compared to the same time frame from the previous year.,,,,,,,,,,,,,,,,,
3 Total Overseas figure excludes Canada and Mexico figures.  ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Note:  All data reported are from the Office of Travel and Tourism Industries (OTTI) ""U.S. International Air Travel Statistics Report"" except for the Canada air data.",,,,,,,,,,,,,,,,,
           OTTI obtains the information on U.S. departures to Canada from Statistics Canada.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source:  U.S. Department of Commerce, International Trade Administration, Office of Travel and Tourism Industries.",,,,,,,,,,,,,,,,,
