FINAL1,,,,,,,,,,,,,,
"U.S. CITIZEN AIR TRAFFIC2 TO OVERSEAS REGIONS, CANADA & MEXICO",,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,
,,,,,,,,,,,,,Total,% Change
Regions,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,YTD 3
Europe,"734,184","638,319","1,025,478","990,345","1,368,704","1,585,248","1,450,854","1,159,246","1,245,357","980,856","816,098","913,995","12,995,893",4%
Caribbean,"422,010","430,853","525,097","544,273","497,291","546,912","622,804","519,452","309,293","355,395","432,432","538,026","5,780,787",7%
Asia,"412,341","330,752","422,301","417,162","463,810","506,649","475,223","403,387","393,517","459,582","419,684","474,862","5,207,977",8%
South America,"182,359","174,920","196,368","160,558","171,218","216,053","221,108","197,760","152,005","166,343","185,853","277,316","2,317,921",6%
Central America ,"196,727","184,722","226,666","196,976","178,343","234,416","253,698","182,244","119,489","135,332","177,340","270,430","2,371,223",3%
Oceania,"74,520","66,349","73,328","58,506","53,909","74,891","79,356","63,352","56,871","66,391","67,359","82,612","828,799",6%
Middle East,"45,822","31,973","42,014","42,587","45,276","57,263","40,069","39,560","33,356","29,220","32,302","34,331","478,282",-14%
Africa,"16,626","13,629","17,822","15,927","16,632","20,226","14,813","8,594","8,796","9,330","6,956","16,451","167,490",-18%
,,,,,,,,,,,,,,
Total Overseas,"2,084,589","1,871,517","2,529,074","2,426,334","2,795,183","3,241,658","3,157,925","2,573,595","2,318,684","2,202,449","2,138,024","2,608,023","30,148,372",5%
,,,,,,,,,,,,,,
Mexico,"431,415","400,743","518,910","495,589","490,734","550,296","581,479","487,990","315,312","390,214","444,642","591,161","5,747,999",1%
Canada (rev),"197,728","208,719","247,667","258,053","340,453","476,475","493,733","461,026","357,521","288,352","232,042","275,393","3,861,639",-1%
,,,,,,,,,,,,,,
Grand Total ,"2,713,732","2,480,979","3,295,651","3,179,976","3,626,370","4,268,429","4,233,137","3,522,611","2,991,517","2,881,015","2,814,708","3,474,577","39,758,010",4%
Monthly % Chg,2%,-1%,1%,10%,8%,6%,2%,5%,1%,3%,4%,2%,4%,
,,,,,,,,,,,,,,
1 Final data include 'late records' which are reflected in Quarterly and Final Annual reports,,,,,,,,,,,,,,
"2 Air traffic only, non-stop from US port to foreign port. Does not imply total 'visitation' throughout the respective regions (refer U.S. Outbound Profile)",,,,,,,,,,,,,,
3 Percentage change is compared to the same time frame from the previous year.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Note:  Overseas and Mexican air data reported are from the Office of Travel and Tourism Industries (OTTI) ""U.S. International Air Travel Statistics Report"" I-92.",,,,,,,,,,,,,,
           OTTI obtains the U.S. air departures to Canada from Statistics Canada.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"To learn more about the I-92 program, visit: ",,,,http://www.tinet.ita.doc.gov/research/programs/i92/index.html,,,,,,,,,,
,,,,,,,,,,,,,,
"Source:  U.S. Department of Commerce, International Trade Administration, Office of Travel and Tourism Industries.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Released: May 2007,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
