,,,,,,,FINAL1,,,,,,,
,,,,"U.S. CITIZEN AIR TRAFFIC2 TO OVERSEAS REGIONS, CANADA & MEXICO",,,,,,,,,,
,,,,,,,2008,,,,,,,
,,,,,,,,,,,,,Final,% Change
Regions,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,YTD 3
Europe,"753,241","668,385","982,679","968,486","1,318,802","1,521,619","1,334,096","1,122,497","1,180,564","916,328","765,079","888,886","12,505,627",-6.2%
Caribbean,"438,600","435,308","547,115","492,124","504,964","558,422","626,393","521,947","287,346","335,003","394,502","493,065","5,686,838",0.7%
Asia,"494,580","402,100","515,685","430,615","496,099","516,814","481,649","430,945","390,446","457,586","407,984","462,870","5,514,987",-1.6%
South America,"207,293","202,985","225,557","175,747","196,573","244,346","231,272","209,270","166,835","184,751","203,791","286,825","2,546,511",3.4%
Central America ,"216,029","219,115","263,537","189,909","200,231","265,294","253,007","220,683","128,348","149,588","192,037","268,451","2,588,064",1.1%
Oceania,"73,910","79,339","66,298","50,438","53,517","61,465","75,890","58,032","49,771","60,102","63,254","72,383","767,836",-6.8%
Middle East,"57,216","51,780","64,548","60,994","75,411","85,385","74,590","65,297","60,491","73,587","88,964","94,105","858,952",45.2%
Africa,"21,319","16,700","25,232","19,508","26,545","28,968","31,987","27,491","25,490","30,020","29,087","34,996","319,713",55.8%
,,,,,,,,,,,,,,
Total Overseas,"2,262,188","2,075,712","2,690,651","2,387,821","2,872,142","3,282,313","3,108,884","2,656,162","2,289,291","2,206,965","2,144,698","2,601,581","30,788,528",-1.4%
,,,,,,,,,,,,,,
Mexico,"471,670","454,449","558,210","484,746","508,033","577,543","581,858","496,806","312,393","402,109","449,593","569,135","5,889,363",1.5%
Canada (rev),"184,794","197,016","228,602","242,395","316,552","429,239","472,542","432,501","318,123","276,633","213,697","269,665","3,581,759",-5.0%
,,,,,,,,,,,,,,
Grand Total ,"2,918,652","2,727,177","3,477,463","3,114,962","3,696,727","4,289,095","4,163,284","3,585,469","2,919,807","2,885,707","2,807,988","3,440,381","40,259,650",-1.3%
Monthly % Chg,6.0%,6.6%,2.8%,0.1%,0.7%,-0.6%,-4.0%,-3.7%,-7.2%,-7.1%,-4.8%,-3.2%,,
,,,,,,,,,,,,,,
1 Preliminary monthly data do not include 'late records' which will be reflected in Quarterly and Final Annual reports,,,,,,,,,,,,,,
"2 Air traffic only, non-stop from US port to foreign port. Not same as total 'visitation' throughout the respective regions (refer 2008U.S. Outbound Profile)",,,,,,,,,,,,,,
3 Percentage change is compared to the same time frame from the previous year.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Note:  Air Traffic to Overseas and Mexico (on U.S. and foreign flags) are reported from the Office of Travel and Tourism Industries (OTTI) ""U.S. International Air Travel Statistics Report"" I-92.",,,,,,,,,,,,,,
           Air traffic to Canada is obtained from Statistics Canada.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"To find out more about the I-92 program, visit: ",,,,http://www.tinet.ita.doc.gov/research/programs/i92/index.html,,,,,,,,,,
,,,,,,,,,,,,,,
"Source:  U.S. Department of Commerce, International Trade Administration, Office of Travel and Tourism Industries.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Released: June 2009,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
