FINAL1,,,,,,,,,,,,,,
"U.S. CITIZEN AIR TRAFFIC2 TO OVERSEAS REGIONS, CANADA & MEXICO",,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,
Source4:,I-92,I-92,I-92,I-92,I-92,I-92,APIS,APIS,APIS,APIS,APIS,APIS,Total,% Change
Regions,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,YTD 3
Europe,"664,807","544,768","852,371","761,418","1,232,279","1,545,950","1,239,156","969,046","1,122,203","831,219","640,639","688,213","11,103,708",-7.30%
Caribbean,"422,661","412,960","503,610","488,207","495,210","556,414","718,883","515,944","298,598","375,945","404,166","510,010","5,716,066",3.40%
Asia,"463,903","391,272","485,535","445,254","492,032","576,398","355,326","304,192","305,972","372,031","333,298","329,406","4,860,513",-8.10%
South America,"203,942","195,640","219,974","184,409","204,573","253,382","165,525","146,886","111,670","119,406","131,087","182,598","2,129,024",-17.30%
Central America ,"207,888","201,002","251,114","186,364","183,604","258,127","245,713","165,031","99,600","113,333","142,047","210,658","2,263,082",-10.60%
Oceania,"81,892","72,363","64,313","55,981","58,271","88,139","45,998","39,163","35,195","39,047","41,374","54,275","686,886",-12.80%
Middle East,"105,511","90,098","117,299","113,131","125,667","151,843","110,983","103,394","91,464","105,855","104,673","118,150","1,339,298",10.60%
Africa,"33,049","25,574","37,065","34,490","37,518","48,354","41,786","33,469","30,252","30,507","28,542","34,813","408,046",2.30%
,,,,,,,,,,,,,,
Total Overseas,"2,183,653","1,933,677","2,531,281","2,269,254","2,829,154","3,478,607","2,923,370","2,277,125","2,094,954","1,987,343","1,825,826","2,128,123","28,506,623",-5.90%
,,,,,,,,,,,,,,
Mexico,"442,247","420,932","510,099","447,597","459,214","533,766","586,099","417,896","272,959","354,501","402,237","526,113","5,383,108",2.30%
Canada ,"167,074","189,106","218,197","225,643","273,232","412,789","461,080","413,470","330,444","287,287","229,515","257,274","3,465,111",5.60%
,,,,,,,,,,,,,,
Grand Total ,"2,792,974","2,543,715","3,259,577","2,942,494","3,561,600","4,425,162","3,970,549","3,108,491","2,698,357","2,629,131","2,457,578","2,911,510","37,354,842",-3.80%
Monthly % Chg,3.10%,0.30%,6.20%,-4.50%,7.70%,11.00%,-5.80%,-14.30%,-9.70%,-10.10%,-12.10%,-16.30%,,
,,,,,,,,,,,,,,
1 Monthly data do not necessarily sum to the Total Annual numbers due to 'late records' and data transitioning,,,,,,,,,,,,,,
"2 Air traffic only, non-stop from US port to foreign port. Not same as total 'visitation' throughout the respective regions (refer U.S. Outbound Profile)",,,,,,,,,,,,,,
3 Percentage change is compared to the same time frame from the previous year.,,,,,,,,,,,,,,
4 Source: DHS I-92 January - June; DHS APIS July  -December. Note: Negative year-over-year % changes July -December reflect the restructuring of source data.,,,,,,,,,,,,,,
"Note:  Air Traffic to Overseas and Mexico (on U.S. and foreign flags) are reported from the Office of Travel and Tourism Industries (OTTI) in the ""U.S. International Air Travel Statistics Report"".",,,,,,,,,,,,,,
           Air traffic to Canada is obtained from Statistics Canada.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
To find out more about the Air Traffic Statistics program visit: ,,,,,http://www.tinet.ita.doc.gov/research/programs/i92/index.html,,,,,,,,,
,,,,,,,,,,,,,,
"Source:  U.S. Department of Commerce, International Trade Administration, Office of Travel and Tourism Industries.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Revised and released: September 26, 2011",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
FINAL,,,,,,,,,,,,,,
"U.S. CITIZEN AIR TRAFFIC TO OVERSEAS REGIONS, CANADA & MEXICO",,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,
Source: All DHS I-92 data for 2009,,,,,,,,,,,,,Total,
Regions,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD,
Europe,"668,221","568,968","847,090","940,279","1,241,375","1,397,017","1,383,704","1,204,945","1,163,697","920,191","748,994","845,496","11,979,018",
Caribbean,"396,837","418,004","453,515","477,955","487,674","524,193","617,394","515,953","315,012","373,034","406,699","529,256","5,530,518",
Asia,"437,095","358,594","429,966","413,535","446,247","506,990","492,157","427,808","386,316","459,141","430,894","477,035","5,287,649",
South America,"207,714","200,060","213,455","191,000","196,867","240,907","240,348","216,045","174,997","188,924","206,177","290,232","2,573,688",
Central America ,"211,280","206,134","246,459","213,056","202,225","247,029","264,246","206,522","136,096","146,452","176,222","269,131","2,532,059",
Oceania,"66,177","65,299","58,118","50,703","51,929","65,998","77,673","61,794","59,080","67,003","68,589","91,662","787,872",
Middle East,"78,587","67,543","81,205","87,774","105,578","122,123","120,801","114,364","94,627","103,123","109,905","119,255","1,210,650",
Africa,"27,246","24,153","31,375","27,591","34,757","40,388","42,847","34,452","30,498","30,738","32,052","41,107","398,970",
,,,,,,,,,,,,,,
Total Overseas ,"2,093,157","1,908,755","2,361,183","2,401,893","2,766,652","3,144,645","3,239,170","2,781,883","2,360,323","2,288,606","2,179,532","2,663,174","30,300,424",
,,,,,,,,,,,,,,
Mexico,"444,319","447,187","510,573","464,651","274,104","465,304","520,147","450,081","313,311","380,080","417,251","562,802","5,263,604",
Canada ,"172,516","179,756","197,503","213,929","267,608","377,849","453,549","393,749","314,625","254,872","200,067","253,661","3,280,273",
,,,,,,,,,,,,,,
Grand Total ,"2,709,992","2,535,698","3,069,259","3,080,473","3,308,364","3,987,798","4,212,866","3,625,713","2,988,259","2,923,558","2,796,850","3,478,819","38,844,301",
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2010/2009,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,
WHTI (U.S. Outbound),,,,,,,,,,,,,,
Caribbean,6.50%,-1.20%,11.00%,2.10%,1.50%,6.10%,16.40%,0.00%,-5.20%,0.80%,-0.60%,-3.60%,,
,,,,,,,,,,,,,,
Mexico,-0.50%,-5.90%,-0.10%,-3.70%,67.50%,14.70%,12.70%,-7.20%,-12.90%,-6.70%,-3.60%,-6.50%,,
,,,,,,,,,,,,,,
