U.S. CITIZEN TRAVEL TO INTERNATIONAL REGIONS,,,,,,,,,,,,,,,,,,
2011 (Final),,,,,,,,,,,,,,,YTD,,,
,,,,,,,,,,,,,Total,% Change,Market,,,
Regions,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD,2H YTD (1),Share,,,
Europe,"568,471","414,958","773,308","806,302","1,157,885","1,431,960","1,288,805","1,047,001","1,119,104","844,142","644,948","729,039","10,825,923",3%,18.5%,,,
Caribbean,"450,185","423,367","597,885","558,278","517,604","616,841","711,316","495,580","306,944","368,680","438,203","547,091","6,031,974",2%,10.3%,,,
Asia,"355,910","263,550","327,595","335,343","351,128","392,165","372,678","322,774","317,775","380,415","350,389","365,926","4,135,648",5%,7.1%,,,
South America,"124,274","122,879","147,263","118,496","130,842","166,106","158,983","140,780","110,756","116,550","134,168","182,496","1,653,593",-2%,2.8%,,,
Central America ,"176,483","140,975","217,318","177,286","162,891","240,766","259,680","168,084","107,562","118,639","155,668","233,013","2,158,365",7%,3.7%,,,
Oceania,"43,142","47,911","44,783","35,184","36,446","41,563","42,328","37,102","35,845","37,949","44,609","57,971","504,833",0%,0.9%,,,
Middle East,"108,487","79,686","107,331","101,208","127,367","140,809","120,164","108,486","103,641","113,715","108,957","127,045","1,346,896",7%,2.3%,,,
Africa,"30,284","21,589","28,079","24,671","32,125","38,724","42,694","33,573","27,779","27,478","26,153","32,627","365,776",-5%,0.6%,,,
,,,,,,,,,,,,,,,,,,
Total Overseas (2),"1,857,236","1,514,915","2,243,562","2,156,768","2,516,288","3,068,934","2,996,648","2,353,380","2,129,406","2,007,568","1,903,095","2,275,208","27,023,008",3%,46.2%,,,
,,,,,,,,,,,,,,,,,,
Mexico (Total) (3),"1,725,112","1,595,804","1,811,359","1,658,940","1,637,923","1,640,360","1,910,638","1,524,510","1,322,946","1,429,995","1,541,705","2,117,655","19,916,947",-3%,34.0%,,,
Mexico (Air) (2),"457,496","394,298","600,457","505,057","454,841","543,821","548,789","394,563","282,460","360,351","417,889","577,361","5,537,383",1%,(6),,,
Canada (Total) (4) ,"453,408","489,618","560,053","685,734","959,729","1,447,435","1,949,509","1,673,484","1,182,034","828,137","584,626","742,865","11,556,632",-2%,19.8%,,,
Canada (Air) (4),"181,821","177,090","225,670","225,295","307,285","431,791","462,553","406,470","341,120","280,997","225,689","253,007","3,518,788",0%,(6),,,
North America,"2,178,520","2,085,422","2,371,412","2,344,674","2,597,652","3,087,795","3,860,147","3,197,994","2,504,980","2,258,132","2,126,331","2,860,520","31,473,579",-3%,53.8%,,,
,,,,,,,,,,,,,,,,,,
Grand Total ,"4,035,756","3,600,337","4,614,974","4,501,442","5,113,940","6,156,729","6,856,795","5,551,374","4,634,386","4,265,700","4,029,426","5,135,728","58,496,587",0%,100.0%,,,
Monthly % Chg (1) ,NA,NA,NA,NA,NA,NA,1.3%,-3.4%,1.1%,-3.4%,-2.1%,5.5%,,,,,,
,,(5),,,,,,,,,,,,,,,,
"(1) Collection methodology DHS APIS (Overseas & Mexico air) comparable for Second Half, July - December 2011/2010.  ",,,,,,,,,,,,,,,,,,
(2) Overseas and Mexico air traffic (non-stop from US port to foreign port) source: DHS APIS.,,,,,,,,,,,,,,,,,,
"(3) Mexico aggregate total (Including air, land and border 1+ nights) source: Banco de Mexico",,,,,,,,,,,,,,,,,,
"(4) Canadian aggregate total (including air, land and border 1+ nights) source: STATS Canada",,,,,,,,,,,,,,,,,,
(5) OTTI reconciled total APIS traffic numbers to U.S. DOT/BTS T-100 International data through July 2011 (BTS does not segment by citizenship). In February APIS was 10% below T-100.,,,,,,,,,,,,,,,,,,
(6) Market Share of 'Air' travel compared to all air travel was 15.3% for Mexico-air and 9.7% for Canada. ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Note:  All air traffic to/from all international regions (on U.S. and foreign flags) are reported by OTTI in the ""U.S. International Air Travel Statistics Report"".",,,,,,,,,,,,,,,,,,
To find out more about the Air Traffic Statistics program visit: ,,,,,http://www.tinet.ita.doc.gov/research/programs/i92/index.html,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Source:  U.S. Department of Commerce, International Trade Administration, Office of Travel and Tourism Industries (OTTI)",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Released: February 27, 2012",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
U.S. CITIZEN TRAVEL TO INTERNATIONAL REGIONS,,,,,,,,,,,,,,,,,,
,,,,,,,2010,,,,,,,,,,,
Source: DHS I-92 data Jan-Jun 2010,,,,,,,APIS,APIS,APIS,APIS,APIS,APIS,Total,,Mkt,,,
Regions,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD,,Share,,,
Europe,"664,807","544,768","852,371","761,418","1,232,279","1,545,950","1,239,156","969,046","1,122,203","831,219","640,639","688,213","11,103,708",,18.4%,,,
Caribbean,"422,661","412,960","503,610","488,207","495,210","556,414","718,883","515,944","298,598","375,945","404,166","510,010","5,716,066",,9.5%,,,
Asia,"463,903","391,272","485,535","445,254","492,032","576,398","355,326","304,192","305,972","372,031","333,298","329,406","4,860,513",,8.1%,,,
South America,"203,942","195,640","219,974","184,409","204,573","253,382","165,525","146,886","111,670","119,406","131,087","182,598","2,129,024",,3.5%,,,
Central America ,"207,888","201,002","251,114","186,364","183,604","258,127","245,713","165,031","99,600","113,333","142,047","210,658","2,263,082",,3.8%,,,
Oceania,"81,892","72,363","64,313","55,981","58,271","88,139","45,998","39,163","35,195","39,047","41,374","54,275","686,886",,1.1%,,,
Middle East,"105,511","90,098","117,299","113,131","125,667","151,843","110,983","103,394","91,464","105,855","104,673","118,150","1,339,298",,2.2%,,,
Africa,"33,049","25,574","37,065","34,490","37,518","48,354","41,786","33,469","30,252","30,507","28,542","34,813","408,046",,0.7%,,,
,,,,,,,,,,,,,,,,,,
Total Overseas 2,"2,183,653","1,933,677","2,531,281","2,269,254","2,829,154","3,478,607","2,923,370","2,277,125","2,094,954","1,987,343","1,825,826","2,128,123","28,506,623",,47.3%,,,
,,,,,,,,,,,,,,,,,,
Mexico (Total),"1,707,635","1,580,058","1,816,798","1,548,995","1,616,253","1,607,850","1,823,952","1,718,648","1,301,427","1,574,686",1698639.2,2020411.7,"20,015,353",,33.2%,,,
