,,,,,U.S. CITIZEN TRAVEL TO INTERNATIONAL REGIONS,,,,,,,,,,,
,,,,,,,2012,,,,,,,,YTD,
,,,,,,,,,,,,,Total,% Change,Market,
Regions,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD,YTD (1),Share,
Europe,"580,304","493,931","823,312","832,117","1,213,377","1,498,656","1,299,502","1,126,098","1,138,691","852,344","646,447","739,858","11,244,637",3.9%,18.5%,
Caribbean,"460,494","536,899","648,773","577,885","545,073","672,777","737,987","548,775","331,371","374,327","449,260","551,722","6,435,343",6.7%,10.6%,
Asia,"370,010","318,111","372,172","363,785","380,446","405,070","365,778","317,409","319,491","381,465","358,881","359,926","4,312,544",4.3%,7.1%,
South America,"125,556","138,358","160,294","124,867","138,522","170,185","156,157","141,979","108,919","117,623","135,971","184,438","1,702,869",3.0%,2.8%,
Central America ,"192,544","203,120","251,336","178,633","179,356","264,322","269,811","187,099","117,061","130,076","172,398","248,576","2,394,332",10.9%,3.9%,
Oceania,"48,024","54,116","48,693","37,363","40,183","45,685","47,908","38,929","38,032","40,144","47,909","60,285","547,271",8.4%,0.9%,
Middle East,"119,717","104,304","122,506","113,062","135,837","165,082","130,622","128,253","109,466","116,916","115,560","138,957","1,500,282",11.4%,2.5%,
Africa,"27,210","21,976","31,521","26,185","35,106","41,009","38,573","33,435","27,419","27,429","24,021","30,983","364,867",-0.2%,0.6%,
,,,,,,,,,,,,,,,,
Total Overseas (2),"1,923,859","1,870,815","2,458,607","2,253,897","2,667,900","3,262,786","3,046,338","2,521,977","2,190,450","2,040,324","1,950,447","2,314,745","28,502,145",5.5%,46.9%,
,,,,,,,,,,,,,,,,
Mexico (Total) (3)(P),"1,748,720","1,658,654","1,962,308","1,636,812","1,541,355","1,683,523","1,906,916","1,531,064","1,326,880","1,444,056","1,707,965","2,218,415","20,366,668",1.4%,33.5%,
Mexico (Air) (2),"463,402","526,671","622,399","469,954","455,375","561,821","549,525","412,820","286,683","379,726","443,470","600,475","5,772,321",4.2%,(6),
Canada (Total) (4) ,"462,324","535,229","603,332","715,671","995,416","1,532,189","1,841,084","1,851,032","1,156,567","821,124","590,585","749,428","11,853,981",2.2%,19.5%,
Canada (Air) (4),"182,378","193,390","225,366","242,905","306,501","432,853","446,048","424,754","331,058","280,675","208,087","260,644","3,534,659",2.4%,(6),
North America,"2,211,044","2,193,883","2,565,640","2,352,483","2,536,771","3,215,712","3,748,000","3,382,096","2,483,447","2,265,180","2,298,550","2,967,843","32,220,649",1.7%,53.1%,
,,,,,,,,,,,,,,,,
Grand Total ,"4,134,903","4,064,698","5,024,247","4,606,380","5,204,671","6,478,498","6,794,338","5,904,073","4,673,897","4,305,504","4,248,997","5,282,588","60,722,794",3.4%,100.0%,
Monthly % Chg (1) ,1.1%,12.0%,8.2%,0.5%,1.0%,4.7%,-2.6%,3.9%,0.7%,0.5%,2.4%,-0.6%,,,,
,,(5),,,,,,,,,,,,,,
(1) Collection methodology DHS APIS (Overseas & Mexico air) comparable for all of 2012/2011.  ,,,,,,,,,,,,,,,,
(2) Overseas and Mexico air traffic (non-stop from US port to foreign port) source: DHS APIS.,,,,,,,,,,,,,,,,
"(3) Mexico aggregate total (Including air, land and border 1+ nights) source: Banco de Mexico (P) Preliminary estimate",,,,,,,,,,,,,,,,
"(4) Canadian aggregate total (including air, land and border 1+ nights) source: STATS Canada",,,,,,,,,,,,,,,,
(5) OTTI reconciled total APIS traffic numbers to U.S. DOT/BTS T-100 International data through August 2012 (BTS does not segment by citizenship). In February 2011 APIS was 10% below T-100.,,,,,,,,,,,,,,,,
(6) Market Share of 'Air' travel compared to all air travel: Mexico-air 15.3%; Canada-air 9.3%. ,,,,,,,,,,,,,,,,
