U.S. CITIZEN TRAVEL TO INTERNATIONAL REGIONS,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,YTD,,,
,,,,,,,,,,,,,Total,% Change,Market,,,
Regions,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD,YTD (1),Share,,,
Europe,"577,691","497,003","806,663","868,367","1,305,842","1,614,486","1,413,798","1,185,907","1,241,537","915,090","675,275","790,557","11,892,216",4.2%,17.4%,,,
Caribbean,"498,620","550,203","705,211","629,774","624,280","742,860","821,650","629,224","347,244","436,791","513,983","672,032","7,171,872",9.6%,10.5%,,,
Asia,"376,296","312,814","397,296","381,817","379,197","424,155","397,960","342,239","338,630","397,721","364,160","396,232","4,508,517",4.2%,6.6%,,,
South America,"127,749","137,612","154,680","123,068","144,464","208,023","167,627","143,609","112,581","123,729","134,019","194,344","1,771,505",2.1%,2.6%,,,
Central America ,"219,192","225,540","283,108","213,929","209,012","301,095","308,557","206,176","121,158","145,848","180,485","283,007","2,697,107",8.1%,4.0%,,,
Oceania,"51,774","62,658","60,097","41,314","46,359","45,003","48,892","39,913","38,013","46,573","53,030","67,699","601,325",5.2%,0.9%,,,
Middle East,"140,179","119,192","140,706","141,744","162,244","180,874","148,098","145,620","133,173","134,341","143,546","189,966","1,779,683",12.7%,2.6%,,,
Africa,"23,982","21,066","27,950","27,596","36,044","40,542","40,732","34,231","29,205","25,974","21,875","28,726","357,923",1.7%,0.5%,,,
,,,,,,,,,,,,,,,,,,
Total Overseas (2),"2,015,483","1,926,088","2,575,711","2,427,609","2,907,442","3,557,038","3,347,314","2,726,919","2,361,541","2,226,067","2,086,373","2,622,563","30,780,148",6.1%,45.1%,,,
,,,,,,,,,,,,,,,,,,
Mexico (Total) (3) (Rev),"2,073,219","1,975,581","2,396,039","2,052,385","2,123,548","2,199,477","2,313,741","2,113,129","1,608,221","1,875,763","2,265,596","2,884,937","25,881,635",24.1%,38.0%,,,
Mexico (Air) (2),"548,728","606,312","747,971","582,815","580,708","708,298","701,251","517,592","305,072","406,687","516,643","708,513","6,930,590",11.4%,(6),,,
Canada (Total) (4) ,"450,103","483,157","553,030","662,708","992,697","1,402,535","1,840,827","1,889,787","1,074,367","860,615","562,470","742,276","11,514,572",0.3%,16.9%,,,
Canada (Air) (4),"161,568","165,605","202,916","209,928","293,771","409,699","468,524","423,053","330,791","280,995","206,608","256,665","3,410,123",5.9%,(6),,,
North America,"2,523,322","2,458,738","2,949,069","2,715,093","3,116,245","3,602,012","4,154,568","4,002,916","2,682,588","2,736,378","2,828,066","3,627,213","37,396,207",15.7%,54.9%,,,
,,,,,,,,,,,,,,,,,,
Grand Total ,"4,538,805","4,384,826","5,524,780","5,142,702","6,023,687","7,159,050","7,501,882","6,729,835","5,044,129","4,962,445","4,914,439","6,249,776","68,176,355",11.1%,100.0%,,,
Monthly % Chg (1) ,9.6%,9.7%,8.7%,15.9%,16.2%,9.0%,9.5%,5.8%,6.2%,11.1%,11.9%,17.3%,,,,,,
,,,,,,,,(5),,,,,,,,,,
(1) Collection methodology DHS APIS (Overseas & Mexico air) comparable from 2011 through 2014.  ,,,,,,,,,,,,,,,,,,
(2) Overseas and Mexico air traffic (non-stop from US port to foreign port) source: DHS APIS.,,,,,,,,,,,,,,,,,,
"(3) Mexico aggregate total (Including air, land and border 1+ nights) source: Banco de Mexico (Rev) Revised estimate on 7/13/15",,,,,,,,,,,,,,,,,,
"(4) Canadian aggregate total (including air, land and border 1+ nights) source: STATS Canada. Note: 2013 and 2014 data revised as of April 2015. ",,,,,,,,,,,,,,,,,,
(5) NTTO reconciles total APIS traffic numbers to U.S. DOT/BTS T-100 International data (BTS does not segment by citizenship) . ,,,,,,,,,,,,,,,,,,
(6) Market Share of 'Air' travel compared to all air travel: Mexico-air 16.9%; Canada-air 8.3% ytd.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Note:  All air traffic to/from all international regions (on U.S. and foreign flags) are reported by NTTO in the ""U.S. International Air Travel Statistics Report"".",,,,,,,,,,,,,,,,,,
To find out more about the Air Traffic Statistics program visit: ,,,,http://travel.trade.gov/research/programs/i92/index.html ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Source:  U.S. Department of Commerce, International Trade Administration, National Travel and Tourism Office (NTTO)",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Released: February 20, 2015; Revised April 24, 2015 (Canada) and July 13, 2015 (Mexico)",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
U.S. CITIZEN TRAVEL TO INTERNATIONAL REGIONS,,,,,,,,,,,,,,,,,,
,,,,,,,2013,,,,,,,,,,,
,,,,,,,,,,,,,Total,,Mkt,,,
Regions,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD,,Share,,,
Europe,"563,169","480,637","797,405","815,393","1,206,206","1,549,743","1,331,766","1,161,706","1,169,406","885,104","660,011","787,442","11,407,988",,18.6%,,,
Caribbean,"468,194","512,150","695,717","545,443","538,343","675,828","730,358","568,902","316,985","396,504","480,843","616,507","6,545,774",,10.7%,,,
Asia,"372,244","298,392","398,695","353,140","367,283","394,153","366,374","325,185","315,197","389,895","365,392","381,316","4,327,266",,7.1%,,,
