U.S. CITIZEN TRAVEL TO INTERNATIONAL REGIONS,,,,,,,,,,,,,,,,,,
,,,,,,,2016,,,,,,,,YTD,,,
,,,,,,,,,,,revised,,Total,% Change,Market,,,
Regions,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD,YTD (1),Share,,,
Europe,"615,470","546,246","912,603","976,044","1,441,559","1,837,000","1,654,182","1,356,022","1,437,634","1,055,110","807,099","975,396","13,614,365",8.1%,17.0%,,,
Caribbean,"588,925","643,467","809,877","687,500","641,598","803,919","890,781","645,065","416,980","451,579","547,257","751,937","7,878,885",3.0%,9.8%,,,
Asia,"434,366","351,237","479,397","440,303","452,593","488,734","460,034","388,236","405,050","488,441","479,222","515,345","5,382,958",11.2%,6.7%,,,
South America,"153,576","160,319","183,477","145,179","160,869","202,821","198,609","178,300","129,157","131,988","146,737","219,445","2,010,477",7.5%,2.5%,,,
Central America ,"258,520","260,786","320,266","222,167","227,876","319,273","332,404","218,258","146,172","161,373","202,423","314,615","2,984,133",6.9%,3.7%,,,
Oceania,"58,440","72,704","68,529","47,648","51,715","58,120","59,085","52,475","47,696","55,719","67,294","85,458","724,883",12.6%,0.9%,,,
Middle East,"178,493","152,882","184,931","147,391","188,052","214,771","221,530","177,224","155,408","148,121","179,799","227,707","2,176,309",6.4%,2.7%,,,
Africa,"26,709","22,661","31,706","26,726","33,005","36,015","41,695","32,521","28,808","25,423","25,380","34,243","364,892",4.1%,0.5%,,,
,,,,,,,,,,,,,,,,,,
Total Overseas (2),"2,314,499","2,210,302","2,990,786","2,692,958","3,197,267","3,960,653","3,858,320","3,048,101","2,766,905","2,517,754","2,455,211","3,124,146","35,136,902",7.2%,43.8%,,,
,,,,,,,,,,,,,,,,,,
Mexico (Total) (3)(P),"2,524,261","2,417,122","2,837,327","2,383,351","2,410,266","2,631,167","2,956,915","2,422,246","2,094,333","2,512,603","2,598,722","3,406,084","31,194,398",8.6%,38.9%,,,
Mexico (Air) (2),"703,811","751,950","934,935","732,306","714,455","897,872","900,988","635,614","450,156","587,448","674,150","950,068","8,933,753",11.8%,n/a,,,
Canada (Total) (4) ,"536,185","625,767","768,588","805,860","1,164,428","1,684,163","2,306,960","1,950,223","1,415,326","1,012,488","712,958","911,921","13,894,867",9.7%,17.3%,,,
Canada (Air) (4),"204,815","240,007","283,568","283,665","384,089","553,336","623,185","532,549","448,043","356,702","269,781","335,799","4,515,539",17.0%,n/a,,,
North America,"3,060,446","3,042,889","3,605,915","3,189,211","3,574,694","4,315,330","5,263,875","4,372,469","3,509,659","3,525,091","3,311,680","4,318,005","45,089,265",8.9%,56.2%,,,
,,,,,,,,,,,,,,,,,,
Grand Total ,"5,374,945","5,253,191","6,596,701","5,882,169","6,771,961","8,275,983","9,122,195","7,420,570","6,276,564","6,042,845","5,766,891","7,442,151","80,226,167",8.1%,100.0%,,,
Y-O-Y % Chg (1) ,9.6%,10.7%,12.6%,6.2%,5.9%,6.2%,9.8%,4.7%,8.2%,9.5%,6.4%,9.0%,8.1%,,,,,
,,(5),,,,,,,,,,,,,,,,
(1) Collection methodology DHS APIS (Overseas & Mexico air) comparable from 2011 through 2016.  ,,,,,,,,,,,,,,,,,,
(2) Overseas and Mexico air traffic (non-stop from US port to foreign port) source: DHS APIS.,,,,,,,,,,,,,,,,,,
"(3) Mexico aggregate total (Including air, land and border 1+ nights) source: Banco de Mexico (f) final estimate 2016 (as of Sep 17)",,,,,,,,,,,,,,,,,,
"(4) Canadian aggregate total (including air, land and border 1+ nights) source: STATS Canada, as of Oct-17",,,,,,,,,,,,,,,,,,
(5) NTTO reconciled total APIS traffic numbers to U.S. DOT/BTS T-100 International data (BTS does not segment by citizenship) through February 2017. ,,,,,,,,,,,,,,,,,,
(6) Market Share of 'Air' travel compared to all air travel: Mexico-air 18.4%; Canada-air 9.3% ytd.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Note:  All air traffic to/from all international regions (on U.S. and foreign flags) are reported by NTTO in the ""U.S. International Air Travel Statistics Report"".",,,,,,,,,,,,,,,,,,
To find out more about the Air Traffic Statistics program visit: ,,,,http://travel.trade.gov/research/programs/i92/index.html ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Source:  U.S. Department of Commerce, International Trade Administration, National Travel and Tourism Office (NTTO)",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Released: October 20, 2017",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
U.S. CITIZEN TRAVEL TO INTERNATIONAL REGIONS,,,,,,,,,,,,,,,,,,
,,,,,,,2015,,,,,,,,,,,
,,,,,,,,,,,,,Total,,Mkt,,,
Regions,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD,,Share,,,
Europe,"585,982","500,982","840,187","926,094","1,339,841","1,741,971","1,518,260","1,279,176","1,357,057","978,329","706,325","824,656","12,598,860",,17.5%,,,
Caribbean,"560,268","610,837","755,526","671,777","647,866","783,320","852,692","656,606","403,601","477,299","523,274","705,131","7,648,197",,10.3%,,,
Asia,"392,463","325,069","439,242","403,753","409,652","436,330","413,295","365,482","358,203","442,988","418,257","437,926","4,842,660",,6.6%,,,
South America,"129,211","135,309","154,234","126,276","146,458","182,575","179,749","156,707","128,821","139,398","156,448","234,277","1,869,463",,2.4%,,,
Central America ,"223,884","230,021","283,876","208,872","207,285","301,400","306,278","207,156","132,265","157,957","210,852","321,019","2,790,865",,3.7%,,,
Oceania,"53,439","67,496","61,684","42,818","45,192","54,120","51,647","42,810","42,298","50,059","57,688","74,234","643,485",,0.8%,,,
Middle East,"162,570","136,853","166,257","145,791","181,811","191,786","199,753","168,455","149,477","153,967","172,068","216,463","2,045,251",,2.7%,,,
Africa,"25,125","20,343","27,766","24,945","31,857","35,090","39,673","33,198","28,683","25,474","24,603","33,815","350,572",,0.5%,,,
,,,,,,,,,,,,,,,,,,
Total Overseas ,"2,132,942","2,026,910","2,728,772","2,550,326","3,009,962","3,726,592","3,561,347","2,909,590","2,600,405","2,425,471","2,269,515","2,847,521","32,789,353",,44.6%,,,
,,,,,,,,,,,,,,,,,,
Mexico (Total),"2,295,254","2,208,352","2,533,088","2,268,789","2,290,029","2,444,530","2,673,055","2,291,681","1,929,264","2,162,586","2,508,000","3,128,657","28,733,287",,38.1%,,,
Mexico (Air),"610,299","657,784","794,416","659,440","648,131","806,020","792,841","605,774","405,547","542,983","621,766","848,664","7,993,665",,(7),,,
Canada (Total) ,"477,371","508,802","594,209","721,645","1,096,006","1,618,474","2,075,835","1,884,253","1,270,000","930,694","642,019","849,528","12,668,836",,17.3%,,,
Canada (Air) ,"173,342","177,937","216,624","246,880","337,281","475,864","539,170","483,144","370,662","311,714","237,317","291,141","3,861,076",,(7),,,
North America,"2,772,625","2,717,154","3,127,297","2,990,434","3,386,035","4,063,004","4,748,890","4,175,934","3,199,264","3,093,280","3,150,019","3,978,185","41,402,120",,,,,
,,,,,,,,,,,,,,,,,,
Grand Total ,"4,905,567","4,744,064","5,856,069","5,540,760","6,395,997","7,789,596","8,310,237","7,085,524","5,799,669","5,518,751","5,419,534","6,825,706","74,191,473",,100.0%,,,
,,,,,,,,,,,,,,,,,,
(7) Market Share of 'Air' travel compared to all air travel was 17.9% for Mexico-air and 8.6% for Canada.,,,,,,,,,,,,,,,,,,
