U.S. CITIZEN TRAVEL TO INTERNATIONAL REGIONS,,,,,,,,,,,,,,,,,,,,
,,,,,,,2017,,,,,,,,YTD,,,,,
,,,,,,,,,,,,,Total,% Change,Market,,,,,
Regions,Janrev,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD,YTD (1),Share,,,,,
Europe,"701,121","620,460","1,064,429","1,212,898","1,684,659","2,139,814","1,867,812","1,627,172","1,676,165","1,201,375","928,855","1,068,009","15,792,769",16.0%,18.0%,,,,,
Caribbean,"621,686","683,538","822,751","783,076","714,117","865,847","959,510","718,092","356,693","473,086","567,498","754,622","8,320,516",5.6%,9.5%,,,,,
Asia,"476,827","387,650","513,034","495,884","477,954","525,875","504,326","419,586","420,099","504,961","507,576","537,118","5,770,890",7.2%,6.6%,,,,,
South America,"135,006","146,664","165,836","148,540","154,436","193,673","182,796","161,435","119,148","137,624","157,642","222,500","1,925,300",-4.2%,2.2%,,,,,
Central America ,"241,293","252,067","310,182","252,392","232,366","336,150","332,634","222,045","147,044","169,255","216,656","319,918","3,032,002",1.6%,3.5%,,,,,
Oceania,"64,055","81,740","76,821","57,894","51,950","57,895","60,849","50,157","47,780","58,010","75,065","94,280","776,496",7.1%,0.9%,,,,,
Middle East,"197,077","151,649","175,111","174,841","189,500","229,494","236,867","201,242","157,995","168,668","190,353","233,537","2,306,334",6.0%,2.6%,,,,,
Africa,"25,947","22,812","30,986","33,273","34,840","44,089","46,430","39,668","30,051","28,754","29,748","36,553","403,151",10.5%,0.5%,,,,,
,,,,,,,,,,,,,,,,,,,,
Total Overseas (2),"2,463,012","2,346,580","3,159,150","3,158,798","3,539,822","4,392,837","4,191,224","3,439,397","2,954,975","2,741,733","2,673,393","3,266,537","38,327,458",9.1%,43.7%,,,,,
,,,,,,,,,,,,,,,,,,,,
Mexico (Total) (3)(P),"2,649,245","2,604,381","3,102,558","2,883,496","2,761,663","3,092,416","3,310,766","2,706,861","2,425,061","2,718,929","3,069,218","3,725,467","35,050,060",12.4%,40.0%,,,,,
Mexico (Air) (2),"765,339","813,609","1,007,334","855,209","807,387","1,008,322","1,005,120","708,243","467,404","605,831","732,615","1,034,300","9,810,713",9.8%,(6),,,,,
Canada (Total) (4) ,"566,595","618,674","723,952","881,188","1,160,399","1,808,757","2,278,435","2,066,968","1,461,190","1,060,594","754,760","944,412","14,325,924",3.1%,16.3%,,,,,
Canada (Air) (4),"231,135","231,532","293,236","318,129","404,406","601,384","634,059","578,961","456,681","389,145","308,905","368,257","4,815,830",6.7%,(6),,,,,
North America,"3,215,840","3,223,055","3,826,510","3,764,684","3,922,062","4,901,173","5,589,201","4,773,829","3,886,251","3,779,523","3,823,978","4,669,879","49,375,984",9.5%,56.3%,,,,,
,,,,,,,,,,,,,,,,,,,,
Grand Total ,"5,678,852","5,569,635","6,985,660","6,923,482","7,461,884","9,294,010","9,780,425","8,213,226","6,841,226","6,521,256","6,497,371","7,936,416","87,703,442",9.3%,100.0%,,,,,
Monthly % Chg (1) ,5.7%,6.0%,5.9%,17.7%,10.2%,12.3%,7.2%,10.7%,9.0%,7.9%,12.7%,6.6%,,,,,,,,
,,,,,,,,,(5),,,,,,,,,,,
(1) Collection methodology DHS APIS (Overseas & Mexico air) comparable from 2011 through 2017. A'break in series' occurred July 2010.  ,,,,,,,,,,,,,,,,,,,,
(2) Overseas and Mexico air traffic (non-stop from US port to foreign port) source: DHS APIS (former I-92).,,,,,,,,,,,,,,,,,,,,
"(3) Mexico aggregate total (Including air, land and border 1+ nights) source: Banco de Mexico (P) Preliminary estimate 2017; ",,,,,,,,,,,,,,,,,,,,
"(4) Canadian aggregate total (including air, land and border 1+ nights) source: STATS Canada. ",,,,,,,,,,,,,,,,,,,,
(5) NTTO reconciled total APIS traffic numbers to U.S. DOT/BTS T-100 International data (BTS does not segment by citizenship) through September 2017. ,,,,,,,,,,,,,,,,,,,,
(6) Market Share of 'Air' travel compared to all air travel: Mexico-air 18.5%; Canada-air 9.1% ytd.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Note:  All air traffic to/from all international regions (on U.S. and foreign flags) are reported by NTTO in the ""U.S. International Air Travel Statistics Report"".",,,,,,,,,,,,,,,,,,,,
To find out more about the Air Traffic Statistics program visit: ,,,,http://travel.trade.gov/research/programs/i92/index.html ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Source:  U.S. Department of Commerce, International Trade Administration, National Travel and Tourism Office (NTTO)",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Released: March 27 , 2018",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
U.S. CITIZEN TRAVEL TO INTERNATIONAL REGIONS,,,,,,,,,,,,,,,,,,,,
,,,,,,,2016,,,,,,,,,,,,,
,,,,,,,,,,,,,Total,,Mkt,,,,,
Regions,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,NovRev,Dec,YTD,,Share,,,,,
Europe,"615,470","546,246","912,603","976,044","1,441,559","1,837,000","1,654,182","1,356,022","1,437,634","1,055,110","807,099","975,396","13,614,365",,17.0%,,,,,
Caribbean,"588,925","643,467","809,877","687,500","641,598","803,919","890,781","645,065","416,980","451,579","547,257","751,937","7,878,885",,9.8%,,,,,
Asia,"434,366","351,237","479,397","440,303","452,593","488,734","460,034","388,236","405,050","488,441","479,222","515,345","5,382,958",,6.7%,,,,,
South America,"153,576","160,319","183,477","145,179","160,869","202,821","198,609","178,300","129,157","131,988","146,737","219,445","2,010,477",,2.5%,,,,,
Central America ,"258,520","260,786","320,266","222,167","227,876","319,273","332,404","218,258","146,172","161,373","202,423","314,615","2,984,133",,3.7%,,,,,
Oceania,"58,440","72,704","68,529","47,648","51,715","58,120","59,085","52,475","47,696","55,719","67,294","85,458","724,883",,0.9%,,,,,
Middle East,"178,493","152,882","184,931","147,391","188,052","214,771","221,530","177,224","155,408","148,121","179,799","227,707","2,176,309",,2.7%,,,,,
Africa,"26,709","22,661","31,706","26,726","33,005","36,015","41,695","32,521","28,808","25,423","25,380","34,243","364,892",,0.5%,,,,,
,,,,,,,,,,,,,,,,,,,,
Total Overseas ,"2,314,499","2,210,302","2,990,786","2,692,958","3,197,267","3,960,653","3,858,320","3,048,101","2,766,905","2,517,754","2,455,211","3,124,146","35,136,902",,43.8%,,,,,
,,,,,,,,,,,,,,,,,,,,
Mexico (Total) rev.,"2,524,261","2,417,122","2,837,327","2,383,351","2,410,266","2,631,167","2,956,915","2,422,246","2,094,333","2,512,603","2,598,722","3,406,084","31,194,398",,38.9%,,,,,
Mexico (Air),"703,811","751,950","934,935","732,306","714,455","897,872","900,988","635,614","450,156","587,448","674,150","950,068","8,933,753",,(7),,,,,
Canada (Total) ,"536,185","625,767","768,588","805,860","1,164,428","1,684,163","2,306,960","1,950,223","1,415,326","1,012,488","712,958","911,921","13,894,867",,17.3%,,,,,
Canada (Air) ,"204,815","240,007","283,568","283,665","384,089","553,336","623,185","532,549","448,043","356,702","269,781","335,799","4,515,539",,(7),,,,,
North America,"3,060,446","3,042,889","3,605,915","3,189,211","3,574,694","4,315,330","5,263,875","4,372,469","3,509,659","3,525,091","3,311,680","4,318,005","45,089,265",,,,,,,
,,,,,,,,,,,,,,,,,,,,
Grand Total ,"5,374,945","5,253,191","6,596,701","5,882,169","6,771,961","8,275,983","9,122,195","7,420,570","6,276,564","6,042,845","5,766,891","7,442,151","80,226,167",,100.0%,,,,,
,,,,,,,,,,,,,,,,,,,,
(7) Market Share of 'Air' travel compared to all air travel was 18.4% for Mexico-air and 9.3% for Canada.,,,,,,,,,,,,,,,,,,,,
,,,,,,,2016,,,,,,Total,,,,,,,
Regions,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,NovRev,Dec,Final,,,,,,,
Europe,"615,470","546,246","912,603","976,044","1,441,559","1,837,000","1,654,182","1,356,022","1,437,634","1,055,110","807,099","975,396","13,614,365",,,,,,,
Caribbean,"588,925","643,467","809,877","687,500","641,598","803,919","890,781","645,065","416,980","451,579","547,257","751,937","7,878,885",,,,,,,
Asia*,"434,366","351,237","479,397","440,303","452,593","488,734","460,034","388,236","405,050","488,441","479,222","515,345","5,382,958",,,,,,,
South America,"153,576","160,319","183,477","145,179","160,869","202,821","198,609","178,300","129,157","131,988","146,737","219,445","2,010,477",,,,,,,
Central America ,"258,520","260,786","320,266","222,167","227,876","319,273","332,404","218,258","146,172","161,373","202,423","314,615","2,984,133",,,,,,,
Oceania,"58,440","72,704","68,529","47,648","51,715","58,120","59,085","52,475","47,696","55,719","67,294","85,458","724,883",,,,,,,
Middle East,"178,493","152,882","184,931","147,391","188,052","214,771","221,530","177,224","155,408","148,121","179,799","227,707","2,176,309",,,,,,,
